timestamp,lacc_x,lacc_y,lacc_z
3935946,-1,-5,-1
3935956,0,-5,-1
3935966,0,-5,0
3935976,0,-4,0
3935986,0,-4,-4
3935996,0,-5,-3
3936006,0,-6,-3
3936016,0,-5,0
3936026,0,-2,-2
3936036,0,-5,-5
3936046,0,-5,-2
3936056,0,-4,0
3936066,0,-5,-1
3936076,0,-7,0
3936086,0,-3,-4
3936096,0,-3,-2
3936106,0,-5,-2
3936116,2,-6,-3
3936126,0,-4,-2
3936136,0,-2,-2
3936146,0,-4,-3
3936156,-1,-6,0
3936166,0,-6,-1
3936176,0,-3,-1
3936186,-1,-5,-4
3936196,0,-5,0
3936206,0,-6,-2
3936216,1,-6,0
3936226,0,-6,-1
3936236,0,-4,-2
3936246,0,-4,-3
3936256,1,-4,-3
3936266,1,-6,-1
3936276,-1,-8,-3
3936286,-1,-6,-3
3936296,-1,-5,-1
3936306,0,-4,-2
3936316,-1,-6,0
3936326,0,-4,-1
3936336,-2,-5,-4
3936346,0,-5,-1
3936356,-1,-5,-2
3936366,0,-5,-3
3936376,0,-3,0
3936386,0,-4,-2
3936396,0,-4,-1
3936486,0,-6,-3
3936496,0,-6,-3
3936506,0,-7,-3
3936516,0,-5,-2
3936526,1,-4,-1
3936536,-1,-4,-1
3936546,1,-6,-3
3936556,0,-5,0
3936566,1,-3,0
3936576,0,-5,-3
3936586,0,-5,-3
3936596,-2,-4,-2
3936606,1,-6,-1
3936616,0,-8,0
3936626,-1,-5,-1
3936636,1,-6,-1
3936646,0,-5,-1
3936656,0,-6,0
3936666,0,-3,-1
3936676,-1,-6,-1
3936686,0,-4,-3
3936696,-1,-3,0
3936706,0,-6,-1
3936716,0,-4,-3
3936786,-1,-5,-4
3936796,0,-5,-3
3936806,-1,-7,-3
3936816,2,-5,-1
3936826,1,-6,-2
3936836,0,-4,-1
3936846,0,-5,-2
3936856,-1,-5,-2
3936866,0,-4,-1
3936876,0,-4,0
3936886,1,-6,-5
3936896,1,-5,-3
3936906,-2,-8,0
3936916,-12,-8,-14
3936926,-5,-5,35
3936936,6,-1,-40
3936946,4,-5,28
3936956,4,-3,10
3936966,-2,-5,-4
3936976,1,-4,-5
3936986,-1,-8,-2
3936996,1,-6,-4
3937006,-6,-9,-4
3937016,8,-1,-6
3937026,4,-3,-11
3937036,-6,-9,-4
3937046,-5,-6,8
3937056,6,0,-15
3937066,5,-1,-4
3937076,2,-4,-5
3937166,10,-1,11
3937176,19,5,-26
3937186,1,-5,-14
3937196,-5,-6,-5
3937206,-5,-7,6
3937216,1,-4,12
3937226,-7,-7,-8
3937236,11,-2,-2
3937246,-12,-9,10
3937256,-10,-8,1
3937266,-4,-5,5
3937276,8,-2,-12
3937286,3,-4,-7
3937296,-1,-7,-4
3937306,-4,-8,2
3937316,1,-6,-2
3937326,-8,-5,-18
3937336,2,-2,38
3937346,0,-4,-44
3937356,0,-5,36
3937366,2,-4,15
3937376,2,-3,-8
3937387,-1,-3,-4
3937396,-1,-3,-4
3937406,-5,-5,-1
3937416,7,-7,7
3937426,2,-1,-21
3937436,11,0,-32
3937446,-7,-10,18
3937456,3,-2,-12
3937466,-3,-7,5
3937476,2,-6,-9
3937486,-1,-6,3
3937496,-1,-5,-1
3937506,-3,-5,3
3937516,-15,-14,-10
3937526,17,1,3
3937536,-5,-9,-4
3937546,4,-2,-19
3937556,-6,-6,14
3937566,9,-2,-15
3937576,-3,-6,2
3937586,7,-2,-2
3937596,-6,-9,0
3937606,7,-3,-4
3937616,-4,-5,4
3937626,3,-1,-8
3937636,-5,-7,5
3937646,0,-6,-2
3937656,-1,-5,4
3937666,0,-3,-4
3937676,-1,-6,0
3937686,1,-5,-1
3937696,0,-3,0
3937708,2,-6,-4
3937716,0,-6,-1
3937726,-5,-6,-2
3937736,-1,-4,-3
3937746,-8,-7,8
3937756,27,4,16
3937766,-1,-4,-12
3937776,12,0,9
3937786,10,-2,-15
3937796,2,-4,-17
3937886,0,-7,2
3937896,0,-5,-7
3937906,0,-6,1
3937916,3,-5,-4
3937926,-2,-7,-1
3937936,0,-5,-3
